176 44 16 7F7 7F7 7FC 0 7FE 7FF 7FE 1 0 0 0 7FF 1 
177 44 16 7F5 7F6 7FB 0 7FF 7FF 7FE 0 0 7FF 0 0 0 
177 46 17 7F6 7F7 7FB 0 7FE 7FF 7FE 0 0 0 7FF 7FF 0 
178 45 17 7F5 7F5 7FC 0 7FF 7FF 7FE 0 0 0 0 0 0 
178 46 17 7F5 7F5 7FC 7FF 7FF 7FF 7FE 1 0 0 0 7FF 0 
139 7FB 7FF 1 0 0 0 7FF 0 7FF 7FF 0 7FE 7FF 7FF 0 
13B 7FA 7FE 1 1 1 0 0 7FF 7FF 7FF 7FF 7FF 7FE 0 7FF 
13D 7FA 7FF 1 0 7FF 7FF 7FF 0 7FE 7FE 7FF 7FF 0 7FF 7FF 
13F 7FA 0 0 1 0 1 0 7FF 7FF 7FF 7FF 7FE 7FF 7FF 0 
142 7F8 7FF 0 1 0 0 7FF 7FF 7FF 7FF 7FF 7FF 7FF 7FF 7FF 
143 7F9 7FE 0 1 0 0 7FF 7FF 7FF 7FF 0 7FF 7FF 7FF 0 
145 7F9 7FF 7FE 7FF 0 7FF 0 7FE 0 0 7FF 7FF 7FF 7FF 7FF 
144 7F9 7FF 7FF 0 0 7FF 0 7FF 0 0 7FE 0 0 0 7FF 
145 7F9 7FF 7FF 0 0 7FF 7FE 7FF 0 7FF 7FF 7FE 0 7FF 0 
146 7F8 0 7FF 0 1 7FF 0 7FF 7FF 7FF 0 7FE 7FF 0 0 
147 7F8 0 7FF 0 1 0 0 7FF 7FF 0 0 7FF 7FF 7FF 0 
14A 7F7 2 0 7FE 7FF 7FF 0 7FF 0 0 7FF 0 0 0 0 
146 7FA 3 7FF 7FD 7FF 7FE 7FF 7FF 0 0 7FF 0 7FF 0 7FF 
142 7FD 2 7FF 7FE 0 0 7FF 7FF 0 0 7FF 7FF 0 7FF 0 
144 7FE 7FF 1 1 7FD 0 7FF 1 7FE 1 7FF 0 7FF 7FF 0 
